True_Class,Pred_Class,Count
Transferases,Hydrolases,74
Lyases,Oxidoreductases,45
Transferases,Lyases,42
Hydrolases,Transferases,38
Hydrolases,Lyases,37
Isomerases,Hydrolases,36
Lyases,Hydrolases,34
Lyases,Transferases,31
Transferases,Oxidoreductases,27
Isomerases,Oxidoreductases,27
Oxidoreductases,Hydrolases,26
Isomerases,Lyases,23
Oxidoreductases,Translocases,22
Oxidoreductases,Isomerases,22
Hydrolases,Isomerases,22
Lyases,Isomerases,21
Oxidoreductases,Lyases,21
Hydrolases,Oxidoreductases,21
Isomerases,Transferases,17
Oxidoreductases,Transferases,16
Ligases,Hydrolases,14
Transferases,Isomerases,14
Transferases,Ligases,13
Ligases,Transferases,13
Translocases,Hydrolases,9
Ligases,Oxidoreductases,8
Hydrolases,Translocases,8
Translocases,Oxidoreductases,8
Hydrolases,Ligases,6
Translocases,Lyases,5
Ligases,Lyases,4
Lyases,Ligases,3
Transferases,Translocases,2
Isomerases,Ligases,2
Isomerases,Translocases,1
Lyases,Translocases,1
Ligases,Translocases,1
Oxidoreductases,Ligases,1
Translocases,Transferases,1
